,Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,Unnamed: 5,grammatical role
29,3,5.0,Now take [the green rectangle].,DS,Q3-C22-Gr-Pr,,dobj
30,3,6.0,And put [it] as far to the left length flat on top of [the red]. Yeah.,N,Q3-C22-Gr-Pr,,dobj
31,3,6.0,And put [it] as far to the left length flat on top of [the red]. Yeah.,DS,Q3-C12-Re-Rl,,NI
32,3,7.0,Now. Can you find [[this green block] in yellow]?,DS,New-Ye-Pr,,NI
33,3,7.0,Now. Can you find [[this green block] in yellow]?,N,Q3-C22-Gr-Pr,,NI
34,3,8.0,"And put [it] up right on the left side, on the ground. Yeah.",N,Q1-C12-Ye-Pr,,dobj
35,3,9.0,Now take [one of these blue cubes].,DS,Q3-C31-Bl-Cu,,pobj
36,3,10.0,And put [it] on top of [the yellow cube]?,N,Q3-C31-Bl-Cu,,dobj
37,3,10.0,And put [it] on top of [the yellow cube]?,N,Q1-C12-Ye-Pr,,pobj
38,3,11.0,And take [the second blue cube].,DS,Q3-C13-Bl-Cu,,dobj
39,3,12.0,And put [that] on top of [the first blue cube]?,N,Q3-C13-Bl-Cu,,dobj
40,3,12.0,And put [that] on top of [the first blue cube]?,DS,Q3-C31-Bl-Cu,,pobj
41,3,13.0,And now take [a red cube].,DP,Q3-C32-Re-Cu,,dobj
42,3,14.0,"And put [it] on, touching [the blue] and [green].",N,Q3-C21-Re-Cu,,dobj
43,3,14.0,"And put [it] on, touching [the blue] and [green].",DS,Q3-C13-Bl-Cu,,NI
44,3,14.0,"And put [it] on, touching [the blue] and [green].",DS,Q3-C22-Gr-Pr,,NI
45,3,15.0,And now take [this second red cube].,DP,Q3-C32-Re-Cu,,dobj
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
132,,,,,,,
133,,,,,,,
134,,,,,,,
135,,,,,,,
136,,,,,,,
137,,,,,,,
138,,,,,,,
139,,,,,,,
140,"So, look for that piece.",,,,,,
141,Okay. And then two more pieces.,,,,,,
142,"One of them is a red triangle piece, but it's... it has the same shape as the cube.",,,,,,
143,It's red and triangle.,,,,,,
144,So look for that piece.,,,,,,
145,19:38,,,,,,
146,"Red triangle, it's going to be like, if you cut the square in half diagonally, it's going to be that shape.",,,,,,
147,"Oh, that's right.",,,,,,
148,"Okay. And then that's going to stack with the diagonal side, going towards the right of the whole thing, like this way. Yeah.",,,,,,
149,"And on the very top of it, is going to be a blue cylinder like this.",,,,,,
150,So look for that piece.,,,,,,
151,And then that goes on top of the two red rectangles.,,,,,,
152,Okay. That's right. But I'll just double check. Okay. We're finished with this one.,,,,,,
153,20:57,,,,,,
154,"Okay. So this one, I would start with the long rectangle blue piece",,,,,,
155,And you'll find a long rectangle blue piece.,,,,,,
156,"Actually, no, find two of them.",,,,,,
157,Cause you need one of them for the most part.,,,,,,
158,21:19,,,,,,
159,"Okay. So, you know, one of them is going to be flat like this and the next piece, it was later.",,,,,,
160,So next to that is going to be a yellow arch like that piece.,,,,,,
161,And this time you're going to have it on the short edge vertically.,,,,,,
162,"And the long face is going to be to the right of this, to the right of the yellow piece on the floor. The opposite. Yeah.",,,,,,
163,The arch is facing away from that.,,,,,,
164,"And then to the right of that is a blue cylinder like this piece. And, yeah, just like that.",,,,,,
165,22:01,,,,,,
166,Can you... you can put the next blue piece staffed vertically at the very left of this blue rectangle.,,,,,,
167,It's going to be on top of the blue rectangle. Yeah. Like that.,,,,,,
168,And then there's going to be a yellow slope like this.,,,,,,
169,It's going to be stacked vertically and the slant is going to be going this way. The long face is going to be parallel. It's going to be to the left of everything.,,,,,,
170,"But the long side is going to be parallel to the, like the blue rectangle, and the slope is going to be pointing away. Yeah.",,,,,,
171,Okay. And then there's going to be a red arch inside of that. So look for a red arch.,,,,,,
172,23:08,,,,,,
173,Okay. And that's going to be stacked vertically inside the blue thing.,,,,,,
174,It's going to be facing the same way as the yellow arch. Yeah.,,,,,,
175,Okay. And then there's going to be a yellow and a green cube inside of there.,,,,,,
176,So look for a yellow and a green cube.,,,,,,
177,Okay. So the yellow cube is going to be right next to the arch on top of the blue rectangle.,,,,,,
178,Yeah. Right at the very right of the blue.,,,,,,
179,And on top of that is the green.,,,,,,
180,23:47,,,,,,
181,And then there's going to be two green semi-circles and two blue semi-circles.,,,,,,
182,So they're going to form like a circle on top of the arches.,,,,,,
183,So the green one is going to form a circle on top of the red.,,,,,,
184,And the blue is going to form a circle on top of that.,,,,,,
185,"Then, what's going to be like a circle this way.",,,,,,
186,It's going to be like the same shape as the cylinder from top down.,,,,,,
187,Yeah. So it's going to be like that except the...,,,,,,
188,"Both of the pieces that are going to be curved so that the indent between them is facing like perpendicular from everything else. Like this way. Yeah. So I don't know how to explain it about that, but it's going to be like that.",,,,,,
189,"So you need to find another green semicircle, another blue center to finish that.",,,,,,
190,24:58:00,,,,,,
191,Yeah. It's just going to finish those out.,,,,,,
192,25:08:00,,,,,,
193,"Okay. And then... Oh, no. Okay. So the semicircle is actually supposed to be on top of the green block, just to move it up there. Yeah.",,,,,,
194,And then a blue cube like this is on top of the yellow arch.,,,,,,
195,"Okay. And then there's going to be two yellow cylinders, like the blue one. So find those pieces.",,,,,,
196,25:49:00,,,,,,
197,"And then those are going to stack on top of each other on top of the blue block, the blue cube.",,,,,,
198,"Okay. And then there's going to be a blue, a red and a yellow slope like this. So look for those pieces.",,,,,,
199,26:25:00,,,,,,
200,"Ok. So the first one is going to be the blue one, which is going to go on top of the cylinder.",,,,,,
201,It's going to be facing the opposite way.,,,,,,
202,"It's this yellow one. Yeah, just like that.",,,,,,
203,"And then there's going to be a yellow slop facing the same direction as this, on top the yellow or the blue semi-circles.",,,,,,
204,Yup. And then the red slope is going to be facing with the long side down.,,,,,,
205,"And it's going to, its slope is going to be in the same direction as the yellows.",,,,,,
206,Yeah. I think that's it. We're done with this one.,,,,,,
