,Quadrant,Utterance Number,Reference,Unnamed: 3,Object referenced,Gesture Used,grammatical role
67,3.0,8.0,Right. Start with [this piece.],Y,Q3-C32-Bl-Rl,DP,pobj
68,3.0,9.0,"[This one] right here, just as is. Yep.",Y,Q3-C32-Bl-Rl,DP,ROOT
69,3.0,10.0,"Then [a red one] on top of that are the same length, the same piece.",Y,Q3-C12-Re-Rl,IR,False
70,3.0,10.0,"Then a red one on top of that are the same length, [the same piece].",Y,Q3-C32-Bl-Rl,DS,appos
71,3.0,11.0,"And then [the prism], like tilt, turn it up.",Y,Q4-C21-Ye-Pr,N,nsubj
72,3.0,12.0,The [yellow prism] turned up on the left side of that side. Yeah.,Y,Q4-C21-Ye-Pr,N,False
73,3.0,12.0,The yellow prism turned up on [the left side] of that side. Yeah.,N,,N,pobj
74,3.0,12.0,The yellow prism turned up on the left side of [that side]. Yeah.,N,,DS,pobj
75,3.0,13.0,"[The green prism] right here. Turn on the side, and then along with the yellow. Yep.",Y,Q2-C21-Gr-Pr,DS,ROOT
76,3.0,13.0,"The green prism right here. Turn on the side, and then along with [the yellow]. Yep.",Y,Q4-C21-Ye-Pr,N,False
77,3.0,14.0,Then [this green cylinder] and... the remaining space on that side. Yeah.,Y,Q3-C33-Gr-Cy,DP,False
78,3.0,15.0,This is all we go from here. [Two red cubes] on top of the green prism... the prism {Pointing Gesture} . Yeah.,Y,"Q3-C23-Re-Cu, Q3-C32-Re-Cu",N,ROOT
79,3.0,15.0,This is all we go from here. Two red cubes on top of [the green prism...] the prism  {Pointing Gesture} . Yeah.,Y,Q2-C21-Gr-Pr,N,pobj
80,3.0,15.0,This is all we go from here. Two red cubes on top of the green prism... [the prism.] {Pointing Gesture} Yeah.,Y,Q2-C21-Gr-Pr,N,appos
81,3.0,15.0,This is all we go from here. Two red cubes on top of the green prism... the prism. {Pointing Gesture} Yeah.,Y,Q2-C21-Gr-Pr,DS,input manually
82,3.0,,"And then [a blue cube] on top of the yellow,.",Y,Q3-C22-Bl-Cu,N,False
83,3.0,,And then a blue cube on top of [the yellow].,Y,Q4-C21-Ye-Pr,DS,False
84,,,[Blue cube] on top of the blue.,,,,ROOT
85,,,Blue cube on top of [the blue].,,,,False
86,,,And then [the red prism] on top of the two blue cubes.,,,,False
87,,,And then the red prism on top of the [two blue cubes].,,,,False
88,,,"Oh, sorry, [that's] a red cube. So yeah.",,,,nsubj
89,,,You need [one more] red queue. OQ,,,,False
90,,,Complete [the square.],,,,dobj
91,,,"Now, [the yellow cube] on top of the red cube.",,,,False
92,,,"Now, the yellow cube on top of [the red cube].",,,,pobj
93,,,Bring [another one] of these.,,,,dobj
94,,,Bring another one of [these.],,,,pobj
95,,,"We just need, we need [one more]. OQ",,,,False
96,,,So [it] stacks like this,,,,nsubj
97,,,Yeah. And then take [them both] in vertically next to the yellow. Perfect.,,,,dobj
98,,,Yeah. And then take them both in vertically next to [the yellow]. Perfect.,,,,False
99,,,[This one] right on the side.,,,,nsubj
100,,,"And then [that piece], the short edge on the ground, or not on the ground, like {points}... Yeah.",,,,False
101,,,"And then that piece, the short edge on the ground, or not on the ground, like {points}... Yeah.",,,,input manually
102,,,"Then [the red triangle] on top of the yellow cube, but turn it that view.",,,,False
103,,,"Then the red triangle on top of [the yellow cube], but turn it that view.",,,,pobj
104,,,"Then the red triangle on top of the yellow cube, but turn [it] that view.",,,,dobj
105,,,"And then [the blue cylinder] on top of everything, That's it.",,,,nsubj
106,,,"And then the blue cylinder on top [of everything], That's it.",,,,pobj
