,Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
22,2,10.0,"And next to [ those], [two of the thin green rectangular prisms], right there, and there.",IR,"Q4-C12-Gr-Rl, Q4-C13-Gr-Rl",pobj
23,2,11.0,You are going to smush [them] together so it becomes The top and bottom face of a cube,IR,"Q4-C12-Gr-Rl, Q4-C13-Gr-Rl",dobj
24,2,12.0,and stack [that] so is long ways facing up and down.,IR,"Q4-C12-Gr-Rl, Q4-C13-Gr-Rl",dobj
25,2,13.0,Perfect. ,N,,input manually
26,2,14.0,"Starting from the left again, you're going to take [two of the arches in green].",DS,"Q4-C11-Gr-Ar, Q4-C23-Gr-Ar",pobj
27,2,15.0,And stack [them] on top of [each other] So [it] has a circle in the middle.,IR,"Q4-C11-Gr-Ar, Q4-C23-Gr-Ar",dobj
28,2,15.0,And stack [them] on top of [each other] So [it] has a circle in the middle.,N,"Q4-C11-Gr-Ar, Q4-C23-Gr-Ar",False
29,2,15.0,And stack [them] on top of [each other] So [it] has a circle in the middle.,N,"Q4-C11-Gr-Ar, Q4-C23-Gr-Ar",nsubj
30,,,,,,input manually
31,3,1.0,Lovely. We're going to start off with [the yellow L block right here on the left side].,DP,Q3-C23-Ye-Pr,pobj
32,3,2.0,"On... right next to [that], you're going to take [this green piece] and oriented length-wise pointed towards me.",N,Q3-C23-Ye-Pr,pobj
33,3,2.0,"On... right next to [that], you're going to take [this green piece] and oriented length-wise pointed towards me.",DP,Q3-C22-Gr-Rl,dobj
34,3,3.0,"On top of [that], do the same with [the red, red block].",N,Q3-C22-Gr-Rl,pobj
35,3,3.0,"On top of [that], do the same with [the red, red block].",DS,Q3-C12-Re-Rl,pobj
36,3,4.0,"Oriented lengthwise pointed towards me, you're going to take [this green block].",DP,Q3-C31-Gr-Pr,dobj
37,3,5.0,"And stack [it] right next to on the right side of [the yellow bit, yellow block].",DS,Q3-C31-Gr-Pr,dobj
38,3,5.0,"And stack [it] right next to on the right side of [the yellow bit, yellow block].",IR,Q3-C23-Ye-Pr,dobj
39,3,6.0,Perfect.,N,,input manually
40,3,7.0,"On the... On top of [the yellow block], you're going to take [two blue cubes] and stack them on top of [each other].",IR,Q3-C23-Ye-Pr,pobj
41,3,7.0,"On the... On top of [the yellow block], you're going to take [two blue cubes] and stack them on top of [each other].",IR,"Q3-C11-Bl-Cu, Q3-C13-Bl-Cu",dobj
42,3,7.0,"On the... On top of [the yellow block], you're going to take [two blue cubes] and stack them on top of [each other].",N,"Q3-C11-Bl-Cu, Q3-C13-Bl-Cu",False
43,3,8.0,"On top of [the green block], you're going to stack [two red cubes] next to [each other].",N,Q3-C31-Gr-Pr,pobj
44,3,8.0,"On top of [the green block], you're going to stack [two red cubes] next to [each other].",IR,"Q3-C21-Re-Cu, Q3-C31-Re-Cu",dobj
45,3,8.0,"On top of [the green block], you're going to stack [two red cubes] next to [each other].",N,"Q3-C21-Re-Cu, Q3-C31-Re-Cu",False
46,3,9.0,"So [it]'ll become a flat layer, completely covering the top face of [the green block].",N,"Q3-C21-Re-Cu, Q3-C31-Re-Cu",nsubj
47,3,9.0,"So [it]'ll become a flat layer, completely covering the top face of [the green block].",N,Q3-C31-Gr-Pr,pobj
48,3,10.0,Yep. ,N,,input manually
49,3,11.0,Excellent. ,N,,input manually
50,3,12.0,Alright. We're going to need [a green cylinder] and [a red block identical to [this one]]. ,N,New-Gr-Cy,dobj
51,3,12.0,Alright. We're going to need [a green cylinder] and [a red block identical to [this one]]. ,N,New-Re-Pr,pobj
52,3,12.0,Alright. We're going to need [a green cylinder] and [a red block identical to [this one]]. ,DP,Q3-C31-Gr-Pr,input manually
53,3,13.0,[This one],DP,Q3-C31-Gr-Pr,ROOT
54,3,14.0,You're going to put [the green cylinder] on top of this space right here.,N,Q2-C32-Gr-Cy,dobj
55,3,15.0,"And on top of [the red cubes], you're going to stack [the red prism], identical orientation to [this green one].",DS,"Q3-C21-Re-Cu, Q3-C31-Re-Cu",pobj
56,3,15.0,"And on top of [the red cubes], you're going to stack [the red prism], identical orientation to [this green one].",DP,Q4-C22-Re-Pr,dobj
57,3,15.0,"And on top of [the red cubes], you're going to stack [the red prism], identical orientation to [this green one].",DP,Q3-C31-Gr-Pr,False
58,,,,,,input manually
59,,,,,,input manually
60,,,,,,input manually
61,,,,,,input manually
62,,,,,,input manually
63,,,,,,input manually
64,,,,,,input manually
65,,,,,,input manually
66,,,,,,input manually
67,,,,,,input manually
68,,,,,,input manually
69,,,,,,input manually
70,,,,,,input manually
71,,,,,,input manually
72,,,,,,input manually
73,,,,,,input manually
74,,,,,,input manually
75,,,,,,input manually
76,,,,,,input manually
77,,,,,,input manually
78,,,,,,input manually
79,,,,,,input manually
80,,,,,,input manually
81,,,,,,input manually
82,,,,,,input manually
83,,,,,,input manually
84,,,,,,input manually
85,,,,,,input manually
86,,,,,,input manually
87,,,,,,input manually
88,,,,,,input manually
89,,,,,,input manually
90,,,,,,input manually
91,,,,,,input manually
92,,,,,,input manually
93,,,,,,input manually
94,,,,,,input manually
95,,,,,,input manually
96,,,,,,input manually
97,,,,,,input manually
98,,,,,,input manually
99,,,,,,input manually
100,,,,,,input manually
101,,,,,,input manually
102,,,,,,input manually
103,,,,,,input manually
104,,,,,,input manually
105,,,,,,input manually
106,,,,,,input manually
107,,,,,,input manually
108,,,,,,input manually
109,,,,,,input manually
110,,,,,,input manually
111,,,,,,input manually
112,,,,,,input manually
113,,,,,,input manually
114,,,,,,input manually
115,,,,,,input manually
116,,,,,,input manually
117,,,,,,input manually
118,,,,,,input manually
119,,,,,,input manually
120,,,,,,input manually
121,,,,,,input manually
122,,,,,,input manually
123,,,,,,input manually
124,,,,,,input manually
125,,,,,,input manually
126,,,,,,input manually
127,,,,,,input manually
128,,,,,,input manually
129,,,,,,input manually
130,,,,,,input manually
131,,,,,,input manually
132,,,,,,input manually
133,,,,,,input manually
134,,,,,,input manually
135,,,,,,input manually
136,,,,,,input manually
137,,,,,,input manually
138,,,,,,input manually
139,,,,,,input manually
140,,,,,,input manually
141,,,,,,input manually
142,,,,,,input manually
143,,,,,,input manually
144,,,,,,input manually
145,,,,,,input manually
146,,,,,,input manually
147,,,,,,input manually
148,,,,,,input manually
149,,,,,,input manually
150,,,,,,input manually
151,,,,,,input manually
152,,,,,,input manually
153,,,,,,input manually
154,,,,,,input manually
155,,,,,,input manually
156,,,,,,input manually
157,,,,,,input manually
158,,,,,,input manually
159,,,,,,input manually
160,,,,,,input manually
161,,,,,,input manually
162,,,,,,input manually
163,,,,,,input manually
164,,,,,,input manually
165,"So, look for that piece.",,,,,input manually
166,Okay. And then two more pieces.,,,,,input manually
167,"One of them is a red triangle piece, but it's... it has the same shape as the cube.",,,,,input manually
168,It's red and triangle.,,,,,input manually
169,So look for that piece.,,,,,input manually
170,19:38,,,,,input manually
171,"Red triangle, it's going to be like, if you cut the square in half diagonally, it's going to be that shape.",,,,,input manually
172,"Oh, that's right.",,,,,input manually
173,"Okay. And then that's going to stack with the diagonal side, going towards the right of the whole thing, like this way. Yeah.",,,,,input manually
174,"And on the very top of it, is going to be a blue cylinder like this.",,,,,input manually
175,So look for that piece.,,,,,input manually
176,And then that goes on top of the two red rectangles.,,,,,input manually
177,Okay. That's right. But I'll just double check. Okay. We're finished with this one.,,,,,input manually
178,20:57,,,,,input manually
179,"Okay. So this one, I would start with the long rectangle blue piece",,,,,input manually
180,And you'll find a long rectangle blue piece.,,,,,input manually
181,"Actually, no, find two of them.",,,,,input manually
182,Cause you need one of them for the most part.,,,,,input manually
183,21:19,,,,,input manually
184,"Okay. So, you know, one of them is going to be flat like this and the next piece, it was later.",,,,,input manually
185,So next to that is going to be a yellow arch like that piece.,,,,,input manually
186,And this time you're going to have it on the short edge vertically.,,,,,input manually
187,"And the long face is going to be to the right of this, to the right of the yellow piece on the floor. The opposite. Yeah.",,,,,input manually
188,The arch is facing away from that.,,,,,input manually
189,"And then to the right of that is a blue cylinder like this piece. And, yeah, just like that.",,,,,input manually
190,22:01,,,,,input manually
191,Can you... you can put the next blue piece staffed vertically at the very left of this blue rectangle.,,,,,input manually
192,It's going to be on top of the blue rectangle. Yeah. Like that.,,,,,input manually
193,And then there's going to be a yellow slope like this.,,,,,input manually
194,It's going to be stacked vertically and the slant is going to be going this way. The long face is going to be parallel. It's going to be to the left of everything.,,,,,input manually
195,"But the long side is going to be parallel to the, like the blue rectangle, and the slope is going to be pointing away. Yeah.",,,,,input manually
196,Okay. And then there's going to be a red arch inside of that. So look for a red arch.,,,,,input manually
197,23:08,,,,,input manually
198,Okay. And that's going to be stacked vertically inside the blue thing.,,,,,input manually
199,It's going to be facing the same way as the yellow arch. Yeah.,,,,,input manually
200,Okay. And then there's going to be a yellow and a green cube inside of there.,,,,,input manually
201,So look for a yellow and a green cube.,,,,,input manually
202,Okay. So the yellow cube is going to be right next to the arch on top of the blue rectangle.,,,,,input manually
203,Yeah. Right at the very right of the blue.,,,,,input manually
204,And on top of that is the green.,,,,,input manually
205,23:47,,,,,input manually
206,And then there's going to be two green semi-circles and two blue semi-circles.,,,,,input manually
207,So they're going to form like a circle on top of the arches.,,,,,input manually
208,So the green one is going to form a circle on top of the red.,,,,,input manually
209,And the blue is going to form a circle on top of that.,,,,,input manually
210,"Then, what's going to be like a circle this way.",,,,,input manually
211,It's going to be like the same shape as the cylinder from top down.,,,,,input manually
212,Yeah. So it's going to be like that except the...,,,,,input manually
213,"Both of the pieces that are going to be curved so that the indent between them is facing like perpendicular from everything else. Like this way. Yeah. So I don't know how to explain it about that, but it's going to be like that.",,,,,input manually
214,"So you need to find another green semicircle, another blue center to finish that.",,,,,input manually
215,24:58:00,,,,,input manually
216,Yeah. It's just going to finish those out.,,,,,input manually
217,25:08:00,,,,,input manually
218,"Okay. And then... Oh, no. Okay. So the semicircle is actually supposed to be on top of the green block, just to move it up there. Yeah.",,,,,input manually
219,And then a blue cube like this is on top of the yellow arch.,,,,,input manually
220,"Okay. And then there's going to be two yellow cylinders, like the blue one. So find those pieces.",,,,,input manually
221,25:49:00,,,,,input manually
222,"And then those are going to stack on top of each other on top of the blue block, the blue cube.",,,,,input manually
223,"Okay. And then there's going to be a blue, a red and a yellow slope like this. So look for those pieces.",,,,,input manually
224,26:25:00,,,,,input manually
225,"Ok. So the first one is going to be the blue one, which is going to go on top of the cylinder.",,,,,input manually
226,It's going to be facing the opposite way.,,,,,input manually
227,"It's this yellow one. Yeah, just like that.",,,,,input manually
228,"And then there's going to be a yellow slop facing the same direction as this, on top the yellow or the blue semi-circles.",,,,,input manually
229,Yup. And then the red slope is going to be facing with the long side down.,,,,,input manually
230,"And it's going to, its slope is going to be in the same direction as the yellows.",,,,,input manually
231,Yeah. I think that's it. We're done with this one.,,,,,input manually
