,Quadrant,Utterance Number,Reference,Unnamed: 3,Object referenced,Gesture Used,Liguistic Topic (Mentioned or Not Mentioned,Notes,Unnamed: 8,grammatical role
46,2.0,20.0,So exactly like this setup on top of [them] from left to right.,Y,"Q4-C12-Gr-Ar, Q3-C11-Gr-Ar,  Q1-C13-Ye-Wr, Q4-C31-Re-Tr, Q3-C21-Ye-Wr",DS,,Ambigous DL vs DS,,pobj
47,,,,,,,,,,
48,2.0,21.0,"It's going to be [a red one], a blue one, and a green one. And on this piece a red one.",Y,Q3-C12-Re-Ts,N,,,,NI
49,2.0,21.0,"It's going to be a red one, [a blue one], and a green one. And on this piece a red one.",Y,Q2-C11-Bl-Ts,N,,,,NI
50,2.0,21.0,"It's going to be a red one, a blue one, and [a green one]. And on this piece a red one.",Y,Q4-C31-Gr-Ts,N,,,,NI
51,2.0,21.0,"It's going to be a red one, a blue one, and a green one. And on [this piece] a red one.",Y,"Q4-C23-Gr-Rl, Q4-C21-Gr-Rl",N,,,,pobj
52,2.0,21.0,"It's going to be a red one, a blue one, and a green one. And on this piece [a red one].",Y,Q4-C32-Re-Ts,N,,,,NI
53,2.0,22.0,And the final thing is to put [this cylinder] inside of the circle.,Y,Q3-C21-Bl-Cy,DP,,,,dobj
54,2.0,22.0,And the final thing is to put this cylinder inside of [the circle].,N,,N,,,,pobj
55,2.0,23.0,That's it.,N,,,,,,
56,,,,,,,,,,
57,3.0,1.0,Its going to be [a tall one.],Y,New,N,Not a reference (mistaken codes),,,NI
58,3.0,2.0,"[The yellow], bring the yellow prism and green priss.",Y,New-Ye,N,,,,NI
59,3.0,2.0,"The yellow, bring [the yellow prism] and green priss.",Y,Q4-C21-Ye-Pr,IR,,,,dobj
60,3.0,2.0,"The yellow, bring the yellow prism and [green priss.]",Y,Q2-C21-Gr-Pr,IR,,,,NI
61,3.0,3.0,And also [a red prism.],Y,New-Re-Pr,N,,,,NI
62,3.0,4.0,"Perfect. You need a [red, small triangle], like the hats we used before. ",Y,New-Re-Ts,IR,,,,NI
63,3.0,4.0,"Perfect. You need a red, small triangle, like [the hats] we used before.",Y,"Q4-C31-Gr-Ts, Q4-C32-Re-Ts,Q2-C11-Bl-Ts, Q3-C12-Re-Ts",A,,,,pobj
64,3.0,5.0,[A yellow cube]. ,Y,Q2-C12-Ye-Cu,N,,,,NI
65,3.0,6.0,And [a blue cylinder]. ,Y,New-Bl-Cy,N,,,,NI
66,3.0,7.0,I think that should be it,,,,,,,
67,3.0,8.0,Right. Start with [this piece.],Y,Q3-C32-Bl-Rl,DP,,,,pobj
68,3.0,9.0,"[This one] right here, just as is. Yep.",Y,Q3-C32-Bl-Rl,DP,,,,NI
69,3.0,10.0,"Then [a red one] on top of that are the same length, the same piece.",Y,Q3-C12-Re-Rl,IR,,,,NI
70,3.0,10.0,"Then a red one on top of that are the same length, [the same piece].",Y,Q3-C32-Bl-Rl,DS,,,,NI
71,3.0,11.0,"And then [the prism], like tilt, turn it up.",Y,Q4-C21-Ye-Pr,N,,,,nsubj
72,3.0,12.0,The [yellow prism] turned up on the left side of that side. Yeah.,Y,Q4-C21-Ye-Pr,N,,,,NI
73,3.0,12.0,The yellow prism turned up on [the left side] of that side. Yeah.,N,,N,,,,pobj
74,3.0,12.0,The yellow prism turned up on the left side of [that side]. Yeah.,N,,DS,,,,pobj
75,3.0,13.0,"[The green prism] right here. Turn on the side, and then along with the yellow. Yep.",Y,Q2-C21-Gr-Pr,DS,,,,NI
76,3.0,13.0,"The green prism right here. Turn on the side, and then along with [the yellow]. Yep.",Y,Q4-C21-Ye-Pr,N,,,,NI
77,3.0,14.0,Then [this green cylinder] and... the remaining space on that side. Yeah.,Y,Q3-C33-Gr-Cy,DP,,,,NI
78,3.0,15.0,This is all we go from here. [Two red cubes] on top of the green prism... the prism {Pointing Gesture} . Yeah.,Y,"Q3-C23-Re-Cu, Q3-C32-Re-Cu",N,,,,NI
79,3.0,15.0,This is all we go from here. Two red cubes on top of [the green prism...] the prism  {Pointing Gesture} . Yeah.,Y,Q2-C21-Gr-Pr,N,,,,pobj
80,3.0,15.0,This is all we go from here. Two red cubes on top of the green prism... [the prism.] {Pointing Gesture} Yeah.,Y,Q2-C21-Gr-Pr,N,,,,NI
81,3.0,15.0,This is all we go from here. Two red cubes on top of the green prism... the prism. {Pointing Gesture} Yeah.,Y,Q2-C21-Gr-Pr,DS,,,,NI
82,3.0,,"And then [a blue cube] on top of the yellow,.",Y,Q3-C22-Bl-Cu,N,,,,NI
83,3.0,,And then a blue cube on top of [the yellow].,Y,Q4-C21-Ye-Pr,DS,,,,NI
84,,,[Blue cube] on top of the blue.,,,,,,,
85,,,Blue cube on top of [the blue].,,,,,,,
86,,,And then [the red prism] on top of the two blue cubes.,,,,,,,
87,,,And then the red prism on top of the [two blue cubes].,,,,,,,
88,,,"Oh, sorry, [that's] a red cube. So yeah.",,,,,,,
89,,,You need [one more] red queue. OQ,,,,,,,
90,,,Complete [the square.],,,,,,,
91,,,"Now, [the yellow cube] on top of the red cube.",,,,,,,
92,,,"Now, the yellow cube on top of [the red cube].",,,,,,,
93,,,Bring [another one] of these.,,,,,,,
94,,,Bring another one of [these.],,,,,,,
95,,,"We just need, we need [one more]. OQ",,,,,,,
96,,,So [it] stacks like this,,,,,,,
97,,,Yeah. And then take [them both] in vertically next to the yellow. Perfect.,,,,,,,
98,,,Yeah. And then take them both in vertically next to [the yellow]. Perfect.,,,,,,,
99,,,[This one] right on the side.,,,,,,,
100,,,"And then [that piece], the short edge on the ground, or not on the ground, like {points}... Yeah.",,,,,,,
101,,,"And then that piece, the short edge on the ground, or not on the ground, like {points}... Yeah.",,,,,,,
102,,,"Then [the red triangle] on top of the yellow cube, but turn it that view.",,,,,,,
103,,,"Then the red triangle on top of [the yellow cube], but turn it that view.",,,,,,,
104,,,"Then the red triangle on top of the yellow cube, but turn [it] that view.",,,,,,,
105,,,"And then [the blue cylinder] on top of everything, That's it.",,,,,,,
106,,,"And then the blue cylinder on top [of everything], That's it.",,,,,,,
