Quadrant,Utterance Number,Reference,,Object referenced,Gesture Used,grammatical role
2,10,"And then on the right of [these], stack  [point to obj]. Yeah. Perfectly like this.",Y,"Q4-C11-Re-Wr, Q2-C32-Bl-Wr, Q4-C11-Gr-Cu, Q1-C33-Gr-Cu, Q4-C33-Ye-Cu, Q2-C12-Ye-Cu",DL,pobj
2,10,"And then on the right of these, stack [point to obj]. Yeah. Perfectly like this.",Y,Q4-C23-Gr-Tr,DP,dobj
,,,,,,
2,11,Try to find another [green arch]  [point to obj],Y,Q3-C11-Gr-Ar,N,NI
2,11,Try to find another green arch [point to obj].,Y,Q4-C12-Gr-Ar,DS,NI
2,12,"And on top of [the red], make the circle. Yeah.",Y,Q4-C11-Re-Wr,DS,NI
2,12,"And on top of the red, make [the circle]. Yeah.",N,,,
2,13,"I need [another yellow], like one of these types of prisim.",Y,Q3-C21-Ye-Wr,IR,NI
2,13,"I need another yellow, like one of [these] types of prisim.",Y,Q4-C11-Re-Wr,DP,NI
2,14,"And put [that] to the right of the, the arches. Yes.",Y,Q3-C21-Ye-Wr,N,dobj
,,,,,,
2,14,"And put that to the right of the, [the arches]. Yes.",Y,"Q4-C12-Gr-Ar, Q3-C11-Gr-Ar",DS,NI
2,15,"And then [one the red ones], I think that size to the right of the yellow piece.",Y,Q4-C31-Re-Tr,DP,NI
2,,,,,,
2,15,"And then one of the red one, I think that size to the right of the [yellow piece].",Y,Q3-C21-Ye-Wr,DS,NI
2,16,And find [a yellow piece] that looks the same as the red prism. OQ,Y,Q3-C21-Ye-Wr,N,dobj
2,16,And find a yellow piece that looks the same as [the red prism]. OQ,Y,Q4-C13-Re-Tr,DS,pobj
2,17,"Yeah. We just have random, a bunch of hats and decorations.",N,,,
2,18,"So, [a red], green.",Y,New-Re,,NI
2,18,"So, a red, [green].",Y,Q1-C33-Gr-Cu ,,NI
2,19,"And find a [second red] {I gestures to obj} and blue {I gestures to obj}, one of the triangles",Y,New-Re-St,N,N
2,19,"And find a second red {I gestures to obj} and blue {I gestures to obj}, one of the triangles",Y, ,A,NI
2,19,"And find a second red {I gestures to obj} and [blue] {I gestures to obj}, one of the triangles",Y,New-Bl-St,N,NI
2,19,"And find a second red {I gestures to obj} and blue {I gestures to obj}, one of the triangles",Y,Q4-C31-Gr-St,DS,NI
2,19,"And find a second red {I gestures to obj} and blue {I gestures to obj}, one of [the triangles]",Y,"Q4-C31-Gr-St, Q4-C32-Re-St",DL,pobj
2,20, ,N,,,
2,20,So exactly like this setup on top of [them] from left to right.,Y,"Q4-C12-Gr-Ar, Q3-C11-Gr-Ar,  Q1-C13-Ye-Wr, Q4-C31-Re-Tr, Q3-C21-Ye-Wr",DS,pobj
,,,,,,
2,21,"It's going to be [a red one], a blue one, and a green one. And on this piece a red one.",Y,Q3-C12-Re-Ts,N,NI
2,21,"It's going to be a red one, [a blue one], and a green one. And on this piece a red one.",Y,Q2-C11-Bl-Ts,N,NI
2,21,"It's going to be a red one, a blue one, and [a green one]. And on this piece a red one.",Y,Q4-C31-Gr-Ts,N,NI
2,21,"It's going to be a red one, a blue one, and a green one. And on [this piece] a red one.",Y,"Q4-C23-Gr-Rl, Q4-C21-Gr-Rl",N,pobj
2,21,"It's going to be a red one, a blue one, and a green one. And on this piece [a red one].",Y,Q4-C32-Re-Ts,N,NI
2,22,And the final thing is to put [this cylinder] inside of the circle.,Y,Q3-C21-Bl-Cy,DP,dobj
2,22,And the final thing is to put this cylinder inside of [the circle].,N,,N,pobj
2,23,That's it.,N,,,
,,,,,,
3,1,Its going to be [a tall one.],Y,New,N,NI
3,2,"[The yellow], bring the yellow prism and green priss.",Y,New-Ye,N,NI
3,2,"The yellow, bring [the yellow prism] and green priss.",Y,Q4-C21-Ye-Pr ,IR,dobj
3,2,"The yellow, bring the yellow prism and [green priss.]",Y,Q2-C21-Gr-Pr,IR,NI
3,3,And also [a red prism.],Y,New-Re-Pr,N,NI
3,4,"Perfect. You need a [red, small triangle], like the hats we used before. ",Y,New-Re-Ts,IR,NI
3,4,"Perfect. You need a red, small triangle, like [the hats] we used before.",Y,"Q4-C31-Gr-Ts, Q4-C32-Re-Ts,Q2-C11-Bl-Ts, Q3-C12-Re-Ts ",A,pobj
3,5,[A yellow cube]. ,Y,Q2-C12-Ye-Cu ,N,NI
3,6,And [a blue cylinder]. ,Y,New-Bl-Cy,N,NI
3,7,I think that should be it,,,,
3,8,Right. Start with [this piece.],Y,Q3-C32-Bl-Rl,DP,pobj
3,9,"[This one] right here, just as is. Yep.",Y,Q3-C32-Bl-Rl,DP,NI
3,10,"Then [a red one] on top of that are the same length, the same piece.",Y,Q3-C12-Re-Rl,IR,NI
3,10,"Then a red one on top of that are the same length, [the same piece].",Y,Q3-C32-Bl-Rl,DS,NI
3,11,"And then [the prism], like tilt, turn it up.",Y,Q4-C21-Ye-Pr,N,nsubj
3,12,The [yellow prism] turned up on the left side of that side. Yeah.,Y,Q4-C21-Ye-Pr,N,NI
3,12,The yellow prism turned up on [the left side] of that side. Yeah.,N,,N,pobj
3,12,The yellow prism turned up on the left side of [that side]. Yeah.,N,,DS,pobj
3,13,"[The green prism] right here. Turn on the side, and then along with the yellow. Yep.",Y,Q2-C21-Gr-Pr,DS,NI
3,13,"The green prism right here. Turn on the side, and then along with [the yellow]. Yep.",Y,Q4-C21-Ye-Pr,N,NI
3,14,Then [this green cylinder] and... the remaining space on that side. Yeah.,Y,Q3-C33-Gr-Cy,DP,NI
3,15,This is all we go from here. [Two red cubes] on top of the green prism... the prism {Pointing Gesture} . Yeah.,Y,"Q3-C23-Re-Cu, Q3-C32-Re-Cu",N,NI
3,15,This is all we go from here. Two red cubes on top of [the green prism...] the prism  {Pointing Gesture} . Yeah.,Y,Q2-C21-Gr-Pr,N,pobj
3,15,This is all we go from here. Two red cubes on top of the green prism... [the prism.] {Pointing Gesture} Yeah.,Y,Q2-C21-Gr-Pr,N,NI
3,15,This is all we go from here. Two red cubes on top of the green prism... the prism. {Pointing Gesture} Yeah.,Y,Q2-C21-Gr-Pr,DS,NI
3,,"And then [a blue cube] on top of the yellow,.",Y,Q3-C22-Bl-Cu,N,
3,,And then a blue cube on top of [the yellow].,Y,Q4-C21-Ye-Pr,DS,
,,[Blue cube] on top of the blue.,,,,
,,Blue cube on top of [the blue].,,,,
,,And then [the red prism] on top of the two blue cubes.,,,,
,,And then the red prism on top of the [two blue cubes].,,,,
,,"Oh, sorry, [that's] a red cube. So yeah.",,,,
,,You need [one more] red queue. OQ,,,,
,,Complete [the square.],,,,
,,"Now, [the yellow cube] on top of the red cube.",,,,
,,"Now, the yellow cube on top of [the red cube].",,,,
,,Bring [another one] of these.,,,,
,,Bring another one of [these.],,,,
,,"We just need, we need [one more]. OQ",,,,
,,So [it] stacks like this,,,,
,,Yeah. And then take [them both] in vertically next to the yellow. Perfect.,,,,
,,Yeah. And then take them both in vertically next to [the yellow]. Perfect.,,,,
,,[This one] right on the side.,,,,
,,"And then [that piece], the short edge on the ground, or not on the ground, like {points}... Yeah.",,,,
,,"And then that piece, the short edge on the ground, or not on the ground, like {points}... Yeah.",,,,
,,"Then [the red triangle] on top of the yellow cube, but turn it that view.",,,,
,,"Then the red triangle on top of [the yellow cube], but turn it that view.",,,,
,,"Then the red triangle on top of the yellow cube, but turn [it] that view.",,,,
,,"And then [the blue cylinder] on top of everything, That's it.",,,,
,,"And then the blue cylinder on top [of everything], That's it.",,,,
