Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
21:19,,,,,
"Okay. So, you know, one of them is going to be flat like this and the next piece, it was later.",,,,,
So next to that is going to be a yellow arch like that piece.,,,,,
And this time you're going to have it on the short edge vertically.,,,,,
"And the long face is going to be to the right of this, to the right of the yellow piece on the floor. The opposite. Yeah.",,,,,
The arch is facing away from that.,,,,,
"And then to the right of that is a blue cylinder like this piece. And, yeah, just like that.",,,,,
22:01,,,,,
Can you... you can put the next blue piece staffed vertically at the very left of this blue rectangle.,,,,,
It's going to be on top of the blue rectangle. Yeah. Like that.,,,,,
And then there's going to be a yellow slope like this.,,,,,
It's going to be stacked vertically and the slant is going to be going this way. The long face is going to be parallel. It's going to be to the left of everything.,,,,,
"But the long side is going to be parallel to the, like the blue rectangle, and the slope is going to be pointing away. Yeah.",,,,,
Okay. And then there's going to be a red arch inside of that. So look for a red arch.,,,,,
23:08,,,,,
Okay. And that's going to be stacked vertically inside the blue thing.,,,,,
It's going to be facing the same way as the yellow arch. Yeah.,,,,,
Okay. And then there's going to be a yellow and a green cube inside of there.,,,,,
So look for a yellow and a green cube.,,,,,
Okay. So the yellow cube is going to be right next to the arch on top of the blue rectangle.,,,,,
Yeah. Right at the very right of the blue.,,,,,
And on top of that is the green.,,,,,
23:47,,,,,
And then there's going to be two green semi-circles and two blue semi-circles.,,,,,
So they're going to form like a circle on top of the arches.,,,,,
So the green one is going to form a circle on top of the red.,,,,,
And the blue is going to form a circle on top of that.,,,,,
"Then, what's going to be like a circle this way.",,,,,
It's going to be like the same shape as the cylinder from top down.,,,,,
Yeah. So it's going to be like that except the...,,,,,
"Both of the pieces that are going to be curved so that the indent between them is facing like perpendicular from everything else. Like this way. Yeah. So I don't know how to explain it about that, but it's going to be like that.",,,,,
"So you need to find another green semicircle, another blue center to finish that.",,,,,
24:58:00,,,,,
Yeah. It's just going to finish those out.,,,,,
25:08:00,,,,,
"Okay. And then... Oh, no. Okay. So the semicircle is actually supposed to be on top of the green block, just to move it up there. Yeah.",,,,,
And then a blue cube like this is on top of the yellow arch.,,,,,
"Okay. And then there's going to be two yellow cylinders, like the blue one. So find those pieces.",,,,,
25:49:00,,,,,
"And then those are going to stack on top of each other on top of the blue block, the blue cube.",,,,,
"Okay. And then there's going to be a blue, a red and a yellow slope like this. So look for those pieces.",,,,,
26:25:00,,,,,
"Ok. So the first one is going to be the blue one, which is going to go on top of the cylinder.",,,,,
It's going to be facing the opposite way.,,,,,
"It's this yellow one. Yeah, just like that.",,,,,
"And then there's going to be a yellow slop facing the same direction as this, on top the yellow or the blue semi-circles.",,,,,
Yup. And then the red slope is going to be facing with the long side down.,,,,,
"And it's going to, its slope is going to be in the same direction as the yellows.",,,,,
Yeah. I think that's it. We're done with this one.,,,,,
